# /mnt/data1/BispectrumGLAM/output/glam_bk_0114.npz exists. reading ...
# k shape: (2600, 3)
# br shape: (2600, 957)
# bkrm shape: (2600,)
#kmax    sigma    hartlap
0.195 0.000054 3.691120
0.185 0.000066 2.670391
0.175 0.000080 2.138702
0.165 0.000103 1.814042
0.155 0.000126 1.598662
0.145 0.000158 1.446293
0.135 0.000198 1.335196
0.125 0.000250 1.251309
0.115 0.000331 1.187578
0.105 0.000474 1.138095
0.095 0.000765 1.100115
0.085 0.001244 1.070549
0.075 0.002086 1.048246
0.065 0.003432 1.031284
0.055 0.007697 1.019190
