# /mnt/data1/BispectrumGLAM/output/glam_pk_0114.npz exists. reading ...
# k shape: (30,)
# br shape: (30, 922)
# bkrm shape: (30,)
#kmax    sigma    hartlap
0.195 0.000595 1.021064
0.185 0.000605 1.019934
0.175 0.000677 1.018805
0.165 0.000713 1.017680
0.155 0.000730 1.016556
0.145 0.000864 1.015436
0.135 0.000978 1.014317
0.125 0.000993 1.013201
0.115 0.001335 1.012088
0.105 0.001781 1.010977
0.095 0.001806 1.009868
0.085 0.002617 1.008762
0.075 0.004059 1.007659
0.065 0.004216 1.006557
0.055 0.011842 1.005459
